comment,sentiment
y ahora que pediste,neutral
una pulga aventurera,neutral
batata,neutral
me duele la 👃,neutral
dios proveerá soy abundancia,neutral
taba haciendo cuentas de los envios q tengo q pagar y son como 800varos q risa,neutral
ya le pregunté a la muchacha de kas postcard de la ubi avr si mañana me la da bn,neutral
amiggo wtf el chrome no me deja abrir mas pestañas,negative
yo le voy a dar de comer dueki y lobochan,neutral
en esos momentos los fines de semana vuelven a ser los fines de semana,neutral
felicidades luquitas sobreviviste a tu primer día 🎉,neutral
mañana es viernes 🎉🗣️  al fin puedo celebrar con soflis,neutral
me rehuso a ser la tradwaif de un hombre q no sea liminjo o beomseoki,neutral
quiero dormir en el sillón y despertar en la cama,neutral
que hice mal,neutral
losa y el misterio de pq no puede dejar de revisar mercari,neutral
ojalá enamores al jefe y te saque de trabajar,neutral
lesgo empleo de x vida,neutral
pero son bna onda o esa fue mi primera impresión avr q pasa,neutral
"no diria q malcriados o bno tal vez si, pero son de esos riquillos q viven en su burbuja y piensan q todos som miyonetas como ellos",neutral
y no se qn es pq me dijeorn q va cusndo le da la gana 😭,neutral
mi jefe tiene 30 años 🙉,neutral
no me tengo fé de durar mucho hoy la verdad,neutral
siento como si fuera martes o algo asi,neutral
sushi puso un estricto horario para mensajear y contesta cuando quiere,neutral
se viene pisa miyonaria,neutral
bno supongo que es buena señal de que estás en un buen trabajo 😊,neutral
malcriados?,neutral
hiy genuinamente me senti pobrw al escuchar lo q hablaban 😭,neutral
y son familiares del dueño xd,neutral
todo un cliche pero igual q tristin,neutral
tofos nacieorn el mismo año q vos 😊,neutral
pos yo pensé q mis compañeros iban a ser unos viejitos pero todos son nepobeibis que acaban de cumplir 18 años,neutral
te hucieron firmar contrato?,neutral
e info confidencial q me quedé o.o,neutral
hoy vi tantas letras,neutral
extraño las manzanas,neutral
realmente espero no te enfermes pisa 🙏 mínimo no grave,neutral
pero no puedes faltar al work osi? no autorizo que se repita lodel cafe 🥲,neutral
días como este requieren chocolate,neutral
nose sies por la enfermeda pero estoi sensible y el kdrama q estoi viendo no ayuda unu,neutral
me duele la cabecita,neutral
que gusto conocerte,neutral
talvez cambie esta pfp ns opiniones,neutral
hola bangchanlober 🙈,neutral
"que tal tu primer día pisa, detallew😊",neutral
la vida me trata como si yo le hubiera puesto los clavos a cristo,neutral
no merexco,neutral
así no debería ser,neutral
y yo q me iba a quejar q estoy peor q ayer yore,neutral
la de meterte a una tienda cuando llueve no te la sabes? unu,neutral
no autorizo enfermedad,neutral
mesta comenzando a doler la garganta 🫩,neutral
hoy me volví a mojar jevimente y si llevé sombrilla 😢,neutral
que calooor,neutral
hola,neutral
buenas noches,neutral
of,neutral
biraz daha kal yanımda,neutral
kardeşim bugün gelmiş diyor ki yedinci ev konseri var gidelim mi,neutral
cool♡,neutral
n,neutral
sudee,neutral
shake it to the max,neutral
sen mi̇si̇n i̇lacimm nananana,neutral
insanlara tavsiye verirken eski kendine tavsiye veriyor gibi hissetmek,neutral
yatağıma su döktüm,neutral
deli cesareti,neutral
i̇yi geceler,neutral
dorikko sen annen ve baban çok tatlısınız,neutral
kactiö,neutral
yuh nana,neutral
abi sen yine tarz mi degistin,neutral
sarjm jızlı dolsun hwmwn siödi su an,neutral
vala cok acıyo ane niye ibanmıyon aqq,neutral
nanos yeni divan olabilirim 🥺❤,neutral
görüşürüz esmoşuum iyi gecelerr❤,neutral
matematik of,neutral
bazi seyleri kabul etmek gerekir,neutral
okuduğumu gayet iyi anlıyorum. ben de diyorumki karşı cinsten hoşlanmışki heteroyum diyor. ya illa hoşlanmıştır diyorsa. bu yaşa kadar insanın birisinden hoşlanması gerekmez mi? hoşlanmasaydı bu onu iki cinsten de hoşlanmıyor yapacaktı❤❤,neutral
iki dk dertlenim dsdşm,neutral
minika kendini temizledi şimdi her yerine dokunma zamanı,neutral
esmamm gelmişşş❤❤❤,neutral
artik kimseye güvenip birsey anlatmicam dedikyen sonra daha dun tanistigim kiza tum hayatımı anlattım resmeb aq hayatim yetmezmis gibi sanaldaki yasadiklarimi da anlattım,neutral
kimseyi yargıladığım filan yok. yazdığım şeyi doğru anladıysan desteklerim de dedim. sadece bana hetero yum deyip hoşlanması saçma geldi. demekki zamanında karşı cinsten hoşlanmışki hetrro olduğunu söylüyor. ve evet arkadaşlar yönelimler sonradan değişmez,neutral
spm yemisim,neutral
yasemin mi helmsi̇ lanan,neutral
s,neutral
kizlar buraya hani heo berat berat diykdum ya eskiden esmer bomba diye akpliymis sozun bittigi yerdeyim okulunda akp genclik kollarina uyeymis bi de kustum,neutral
çok uykum var,neutral
ikimizden biri ölmeliydiii,neutral
bence,neutral
ben sizi burfa izlim,neutral
merhaba merhabaaa,neutral
dizlerinde,neutral
ne,neutral
ya ne yokken neler olmus la,neutral
sen de kızlara tövbeliyim demiyor muydun insanları yargılama hakkını sana kim veriyor,neutral
vindo ouvir novamente 😁😁😁🤙,neutral
bir şey demem ilişkileri olursa saygı duyarım ve hatta desteklerim. ama şunu söyleyeyim yönelimler insanın kafasına göre değiştirebileceği bir şey değil hazal. ve hetero olduğunu söyleyen birisi bir kızdan hoşlandığını söylüyor ve bu bana açıkçası komik geldi,neutral
ya simdi,neutral
eu amei vcs sao ums gatos lindos ameii,neutral
sırıtms,neutral
ve ben de dedim ki,neutral
bugün aşırı yedim yarın diyete giriyoruz,neutral
eylül,neutral
bayadr sakarlık yapmadıgım icin,neutral
ilk defa bir gl manga hoşuma gitti,neutral
gözlerinden gökyüzüne,neutral
jk❤d,neutral
çiğdemin yaşımla ilgili tahminlerini sınıftakiler görse öyle bir dalga geçerler ki aq😂😂(i̇şin komiği büyükmüşüm ondan).,neutral
soğuk,neutral
ar❤se,neutral
aga bir tek j❤️d yazsın nolur illa bir şey yazmak zorundaysa,neutral
s❤d,neutral
nefret ediyorum,neutral
e❤i̇,neutral
cidden adın matsu mu? (güzel bir isim de ilk defa duyduğum için şaşırdım),neutral
eriği doğrayarak yemem niye sorun,neutral
aris isminin anlamı ne acaba🤨🤨🤨,neutral
"when i wake up, i'm afraid somebody else might take my place",negative
matsunun ppsine aşıık oldumm😍😍😍,neutral
sarjim 10bb,neutral
"kardesim sinir krizi gecirdikten sonra annem hep sey derdi ""şeytan kıçından çıktı mı""",neutral
türkiyede doğurganlık en düşük seviyedeymiş şu an,neutral
seni bizim eve götürelim bizim kızımız ol sen,neutral
ben en son 6 yıl önce on yaşımdaydım da,neutral
sen kaç yaşındasın ablamm,neutral
açıklama2:misa'nın zaten bana aşkım demeyecegini bildigim icin ve bittimsu yani sen misanin sevgilisi oldugun icin misanin baskasina askim demesini istemiyordum ama bir tek bıttım sabununa askim diyebilirsin de demek istemedigim icin kendimi de dahil ettim yani kotu bir niyetim yoktu,neutral
bisexse bari on yasinda demeseydi bunu,neutral
tomografi çektiren hayvanları gördünüz mü hiç,neutral
hâlâ masadaki paketle bakışıyorum. gecenin sonunda şeytana uyup içmesem iyi. zaten yurtta tekim. arkadaşım olsaydı izin vermezdi içmeme😞😞,neutral
bir kullanıcı var fosforlu kalemle altı çizilmiş gibi kesin bunda bir şey var,neutral
"esmaaa bize bahşedilen bir melek. güzelliği evlere yansıyan bir çiçek. karannnnlııık gecelerde bir ışık gibi parlayııp, insanların yüzüne gülüş saçar. her derdi olaanaaa elinii uzatır. gözleri merhamet ile parıldar güzellll esmaa'nın.",neutral
neyse hem z0rb@landım hem de enayi denildi kısacası mutlu bir gün,neutral
umarim baba sarj aletin sarj eder baba🙏🏻,neutral
of bacam,neutral
#tillölmedi #ivanölmedi,neutral
matsu,neutral
abi misa gelmedi ben isemeye gidimce bi ugramis,neutral
ımdat,neutral
"yt sildigi icin tekrar yazıyorum: bir keresinde bu kiz ile bir oglanin konusmasina tanik olmustum oglan diyordu ki bu feministler hep lgbtyi ozendiriyor normallestiriyor bu insanlari once kem'klerini ki""aca*in  sonra di*i di-i yakacagin bir bir alete koyacaksin sonra bu kiz da dedi ki aynen knk once kemikl+rini kirac&ksın çığlıkları gelecek sonra di8i d+ri yakaca*si""",neutral
ben bağcılar kekosu olduğum için,neutral
siz siz olun,neutral
ohaa,neutral
"bir günnn doğdu güneş elif adıydı gökte. işık saçtı etrafa sevgiyle düşmüş göktee. elif adı bir gülüş yürekte bir serinlik. her dalında iyilik sevgiye bir inanç var içimde. elif yüreği temiz, bilerek daima sevgi saçar herkeese ışıkk verir. o temiz yüreğiylee kalpler  yeniden yeşerirr.",neutral
oha sirf lgb** yazdim diye yorumum silindi,neutral
sarjim 15 bb,neutral
kendimden utandım biraz,neutral
sulukcani ozledim,neutral
noluyo olm,neutral
bugun tarihçi bana bir kitap verdi siniftaki bir kiza vereyim diye kizi cok seviyor o yuzden vermisti ve bu kizla biraz sinifta rakip gibiyiz yani en azindan ben onu gecmeye çalışıyorum.tarihci derste surekli soru cevap yapiyordu ben tam cevabi soyleyecekken bu kiz bagirip soyluyordu boylece hocanin gozune girmis oldu (soylesem de duymayacak aslinda) ama kiz bugun gelmemisti okula kitabin birkac sayfasini okudum kitap cok guzel vermek istemiyorum,neutral
"i̇smine şarkılar yazıldı, ilayda seni övmek için yettmez şarkılar da. i̇layda dost canlısısın sen bir meleksin. herkesinn kalbine neşe tohumu ekersin. sırdaşsın i̇layda, güvenilir bir liman. seninle huzur bulur her dertli insan",neutral
gram keyif almiyorum,neutral
gozlerimin icine bak sen boyle birninsan degilsin sakin ol gozlerime bak bana bak,neutral
ne guzel,neutral
cunkukum ölümsüz çünkü o bir melekk,neutral
matsu biraz daha bilgi ver belki aklimin bi kosesinde hatirliyorumdur,neutral
"eylül❤❤❤
düşünsene🥵 yıl 2067 bts kapanmış
birgün güney korede🇸🇾👎🏿
yuruyosun🤣🤣
üzerinde bts tişört😭
sonra bı adam gelio yanına🥰
kim namcon?!!??!?!
bizi hala unutmadinmi🤓👆🏻
sende sizi nasıl unutabilirim 7 efsane diyosun😭🤣
çimin🎉
cunkuk🌹 
namcun🥵
yonqi😢
çay❤
jeyhop🫰🏻
cin😅",neutral
gerçekten kırılmadın dimi???,neutral
duru sfb demişken tura çıkalım mı birazcık birazdan uyuyucam zaten😔😔,neutral
lafa tuttu on saat,neutral
ama eğleneceksen senin için troll gibi davranabilirimm❤❤❤,neutral
bu beni skne almadı dssaginasürmedi ben kırıldım,neutral
arkadaslar biliyro musunuz,neutral
hatırlarsın bıttımsu hatta beni seninle aldatmıştı,neutral
ya trol değilim gerçektrn. sadece hepinizin iyi insanlar olduğunu biliyorum. i̇çinizde kötü bir niyet yokturr❤❤❤,neutral
yorumlarımgelmiyorçoksinirlendim,neutral
"duru noldu bi̇li̇yor musun
sınıfta sfb açtım dinliyorduk dedim ki işte bizim yorumlar falan var sonra dediler göstersene 
ben de hızlıca gösterdim ama hepsini değil sonra beni̇m i̇smi̇me güldüler 
 tırşoförüatlet olan",neutral
yarenlisini de yapayımmm❤❤❤,neutral
bi yer var biliyorlar,neutral
of kafayı yemişim ben,neutral
nasıl olmuş çiğdem❤❤❤,neutral
one love,positive
"şarkı gibi oku
çiğdemmm sabahın ışığında doğan bir umut. bir tebessümle dünyayı aydınlatan mutluu bir umut. gözlerindr gizli bir bilgelik kalbimde sevgi dolu bir şarkıı. çiğdem seninle geçen her an hayatın en güzel anı",neutral
ya o degil de wanda nara'nin kendisine yazılan sarkidan haberi var mi ne bileyim hic rahatsız olmuyor mu,neutral
acımasızsın isyankarsın,neutral
ben tanrıya inanırım elif ama eğer inanmasaydım sen tanrıya inanma nedenim olurdun.,neutral
sıkıldım,neutral
"kanye west amerika'nın i̇brahim tatlıses'idir. benzer noktaları:

-azınlık kökenli olma

-türlü türlü iş kurma

-evlilikleriyle gündeme gelme

-sağcı politikalara yakınlık

-eski albümlerinin türünün en

i̇yilerinden kabul edilmesi

- isimlerinin kısa halinin bile tanınır olması (ye-ibo)",neutral
ben tanrıya inanırım taehyung ama eğer inanmasaydım sen tanrıya inanma nedenim olurdun.😢🎉💔🫰🏻,neutral
paragraflarımı çalmışlar?? şakagibu,neutral
çiğdemlisini de yapıcam❤❤❤,neutral
şi gabbi gussara gorconi ga ise nay hana sul set. ha how you like that darada daddarada. çige yok layk fandarada darara.,neutral
@wandanara あなたに恋してる,neutral
velorina japon mu bu bize hasta diyen 😒,neutral
tuh be,neutral
my hobby nande,neutral
neyse,neutral
japon bana bulaşma😡😡,neutral
aşi gamgama niggosu şay lak dı stars. ogissoru dimyaar kes gutu by,neutral
10 yasindaki kuzenim birden bisexim ve karim var yazdi,neutral
iyi geceler💟,neutral
wandanaraa gelmişş. hoş geldinn🥰😍😍😍,neutral
ogucara çapkitago. norontudu sadı parada go,neutral
lan wanda nara atlet miydi,neutral
i̇çmemek için kendimç zor tutuyorum elim ayağım titriyor. masanın üstünde bir paket dolusu var. ve ben içemiyorum. nefsine hakim ol eylül yapabilirsin😞😞,neutral
pilav pink in your area,neutral
arkadasimla yedinci sinifta yazip devamini getirmedigim hikayeyi tamamliyoruz,neutral
"ne oldu yavrum? ezan mi korktun sen yine?, normalde ismimle seslenmezdin? arıyorum aç",neutral
merhaba❤❤,neutral
kendimi dkcm konuşmayı unutmuşum,neutral
kafayi yemelik,neutral
bundan sonra,neutral
jimin duru'nun muş 😞😞. neyse bende jk u alırım ve jk un çikolatalı gofreti olurum😤😤🥺🥺🥺😣😣,neutral
apt apt apt apt,positive
bn,neutral
btsi çook severim. ben jiminin üzümlü pankekiyim🤗🤗🤗,neutral
bir şey yazıcamda ayıp olacak,neutral
güney kore bayrağı ne de güzelmişş🇸🇾🇸🇾😍😍,neutral
kaçtı😔,neutral
ceni de çok varım usta aşsksşlaşaşaş. (siyah pembe en sevdiğim gruup🥸🥸),neutral
ne kaçırdım,neutral
"eylül
düşünsene🥵
birgün güney korede🇸🇾👎🏿
yuruyosun🤣🤣
üzerinde pilav pink yazan tişört😭
sonra bı kız gelio yanına🥰
sana diyoki🔥🔥
bizi hala unutmadinmi🤓👆🏻
sende sizi nasıl unutabilirim 4 efsane diyosun😭🤣
liza💖
gül 🌹 
ceni🥵
cisu🎉",neutral
hazal'ın yüreği sevgi dolu dertlere derman olur. umut saçar yolu. en zor anlarda bile yüzü gülümser. paylaşır acıları sevinçleri beraber.,neutral
sena yarım sırıtıyordu üstünde bir şey yoktu mutfaktaydı çok şey kaçırdın,neutral
🥺🥺🥺🥺 özlemi̇şi̇m bana yazik demesi̇ni̇,neutral
saçma paragraflar yüzünden hesabım 24saatlik ban yedi,neutral
katseye kesfetimi sal,neutral
duzgun bır sekılde yazıyorum,neutral
buz gibi dondum,neutral
kim miyavlamis kim ustsuz foto atmis ya yalan iftira,neutral
sena ismi bir destan. yazılmış altın kalemle. anlatır güzelliğini her mısra her beatle,neutral
ama,neutral
"şarkı gibi okuyun he. 
dürüstlükte pırlanta gibidir parlar gözlerinde. yalandan uzak durur hep doğruları söyler dilinde. sena iyi kalpli bir insan sever herkesi candan. dost canlısı biridir o kaynşır  her bir insan.",neutral
eger,neutral
meric bana miyav dedigini kayra abiye soylicem😔hem de sey dicem normalde sana miyavlayacakri utandigi icin bize soyledi diyecegim yani isi pisireceksiniz,neutral
tek tik,neutral
gecen,neutral
senacım bence saydığın isimlerin benimle konuşmama kararı alması daha doğru diye düşünüyorum. sanki evcil hayvanlarda sahibisin aq.,neutral
şi̇mdi̇ bana kaybolan yillarimi verseler,neutral
yaren,neutral
yaa duru ablaa❤❤. hayatımda hiç apartmanda oturmadım ama olsunn😞😞😞,neutral
yok abi artik hak etmesen de dustun bir kere dilime ayrica sen var ya sen simdi arisin suyuna gidip yakinlasmaya calisirsin su ana kadar ki yazdiklarim kiskancliktan degildi😨ama boyle bir sey yaparsan yani ben sevdigim insanlari hoslanmadigim kisilerden kiskaniyorum hani sevdigin biri yani kisaca diyorum ki sadece aris de degil genel olarak meric sude iyi iste yasemin nanadir uzak dur cunku o zaman aklina bile gelmeyecek uzun paragrfalar seni bekliyor olabilir😮,neutral
yaa yasemin kırıldıysan gerçekten özür dilerim. amacım seni kırmak değildi bir anda öyle yazınca. (annemin adı da yasemin olduğu için seni bir ayrı seviyorumm),neutral
uf,neutral
az önce hapşu tarafından rehin alındım,neutral
keşke esmoşum gelse😞😞😞,neutral
meu trabalho de arte(percussão corporal) teve essa música kkkkkk.,neutral
ning,neutral
arkadaşlar teker teker gelin aq. 1vs15 atıyorum zaten.,neutral
bence kayra şarkımdan çok etkilendi hala dinliyor,neutral
ozur,neutral
ben şu tatlıyı yapıp geliyorum bekleyin lan,neutral
esta es la canción mas pegadiza posible👌🏻,neutral
ergen değilim. ki ergen olsaydım bile bu çok normal ve olması gereken bir şey. olgun olduğum sürece sıkıntı yok. ki senin verdiğin cevaplarla benim verdiğim cevapları karşılaştırırsak kimin daha olgun olduğunu anlayabiliriz❤❤❤,positive
fena yaşlandım ya eğilip doğrulurken kemiklerim gıcırdıyor,neutral
of bir de boyle kibar kiz ayaklarini oynuyor ya hep sıkistiginda patliyorum o gece bambaska bir hesapla gelip neler dedigini unutmadim eylus🥺,neutral
annemler müstakil evde oturuyor😞😞😞,neutral
yazar uzun zamandır buraya sadece senin için geliyorum. (küçük bi sır),neutral
arisi surekli buraya cagirmami istedikten sonra sana bulasan ben mi oluyorum kudurma eylul kudurma gerci ben de boyle ergen duygularim yuzunden tanimadigim birinden hoslansam surekli onu sorsam ve o ben disinda herkesle konussa uzulurdum😰,neutral
sude,neutral
çocuk gibi hareket etmiyorum. sadece sizinle saygılı konuşmaya ve kimseyi kırmamaya çalışıyorum. bana da bulaşılırsa gerekeni söylerim.,neutral
arisle ilişkini sormadım ve gerçekten içtenlikle söylüyorum bak ciddiyim içtenlikle söylüyorum arisle ilişkin beni hiiç ilgilendirmiyor ve ben de ilişkinizi sorgulamadım banane aq. sadece bana bulaşma bu kadar,neutral
keşke hep fizik çalışsam hayatım fizikten ibaret olsa,neutral
kardeşim öğretmeninin evli olduğunu öğrendi,neutral
ne sıfatla mı😂😂. bana bulaşan o. tabiki de cevap vericeğim ne  bekliyorsun??,neutral
ya anne telefonumu açsanaa,neutral
duru ablaa kaldığım yurdu ziyaret edebilirsin ankaraya gelirseen. kapım sana her zaman açık. misafirleri çook severim❤❤❤❤❤,neutral
ayip olmasin da hoslana hoslana aristwn mi hoslandin o kdr citir kadin varken yani,neutral
dun kendin sanki arisle konusuyormussun gibi davrandiktan sonra ki sanirim bana soylemedi tarzi bir sey diyip silmissin de boyle triplenip ilgi almaya calistiktan sonra cok yakin oldugum iki kisiye bu kadar takmis olduktan sonra (merice takmis olma eayilmaz ama rahatsiz etme yani 😜)sey yapmami mi bekliyorsun ilk gunden beri o kadar sey yapiyorsun ki😰,neutral
tamam yakınlarda biraz relax olsa. aristen bahsetmediğim sürece konuyu açmasın. o zaman ben de sorarım bunu.,neutral
birde,neutral
sena'nın arisle doğru düzgün konuşmamama rağmen bu kadar kıskanması ve takması normal mi🤨🤨,positive
"851k
hope stay had a beautiful thursday. jensetter here. <3
seoul city x walkin on water",positive
adettendir yasemine 3 dakika neredeydin niye özlettin side eye'ı atıp geri kalan vakitte sevgi kelebeğine dönüşeceğim,neutral
hicbir sey yapmadim dun hoslanmiyorum dememe ragmen aris hakkinda resmen bize rahatsizlik verdin yasinin buyuk oldugunu ogrendikten sonra da yaptin😜he bir de mericleri acayip darlamistin dimi🥺ama sen dunyanin en masum insanisin aslinda dimiiii sapsaaal,neutral
ben yurtta kalıyorum😞😞😞,neutral
duru biliyor musun,neutral
yaseemin hos geldin🥺,neutral
olm bir şey yaptığım yok aq. her şeyi abartıp bu kadar kasmasanız hani(bazıları için söyledim),neutral
eylülll,neutral
müthiş giriş yaptım bence,neutral
yasemine babapro dedigim an sp yedim yasemin babapro benim tek baba benim görüyor musun,neutral
çay bardağım...,neutral
eleman😂😂😂,neutral
offf sevimsiz veledlerden nefret ediyorum(gerçi hepsi sevimsiz de),neutral
karım bir tanem hayatım nasilsin,neutral
ben ne alaka durduk yeremk,neutral
yaseminin gelmesi şerefine bir tane daha mı içsem??,neutral
duru benden korkuyormuş. korkunç değilim o kadar😞😞😞,neutral
gözleri̇m doğru görüyor deği̇l mi̇ yasemi̇n mi̇ o,neutral
joohyun bana bi kere bassa kılım kıpırdamaz,neutral
ofneysebb,neutral
günde max üç içiyorum fazla değil bence ya,neutral
but i see her in the back of my mind,neutral
gerildim ya,neutral
ne bakıyorsunuz yorulmuş olamaz mıyım,neutral
eylul bende sigaraya 15imde basladum ama haftada bir iciyordum ben son 2 yildir bagimli oldumda sen nealaka yapmaboylr,neutral
bu krema soğumuyo amk,neutral
ee müzikali bitti mi yazayım mı yeni mi başladı,neutral
bende asigim m3sela beni niye desteklemedinizbtw,neutral
sigarayı bırakıyorum day 1(az önce içtim ama olsun bugün daha fazla içmezsem bugünü hiç içmedim sayıcağım😞😞),neutral
hocam bugün sizi boğmak istedim ama süreç boyunca bana deccal gibi davranıp not zamanı yüksek verdiğiniz için susuyorum,neutral
adam,neutral
bqbaninami cidden ask mi yasiyor bunlar,neutral
"¡¡¿hace cinco meses ya que se estrenó hop??!! qué locura cómo se pasa el tiempo, que alguien haga algo haha :(",negative
ahlaksızveletler,neutral
"merhaba☺️
ne yiyorsun 
et☺️☺️🥴
nerede pişirdin eti
mangalda☺️😄",neutral
bitmiyor,neutral
kulaklarim çınlıyo,neutral
günün en sevdiğim saati: bu oturum sahibi tarafından sonlandırıldı,neutral
of,neutral
bir yerlerde belli ki umut var,neutral
bir yerlerde bi kaçak var,neutral
sarj olmuyor yeter amk,neutral
yorulduk,neutral
zaman yok,neutral
offf,neutral
stray kids forever❤❤❤❤❤❤❤❤❤❤,neutral
"stray kids has now reached 1,300 days on the spotify daily top artist japan chart",positive
anyone here may 2025?,neutral
here again after watching skz code mt,neutral
nossa eu adorei a música muito boa🇧🇷🇧🇷🇧🇷,neutral
elıfle yolda gıdıyorduk,neutral
"amas 最終日！
全てのアカウントでwebとインスタから忘れずに投票お願いします！
stayファイティン",neutral
maç olmadı,neutral
16 mayısta oylama bitiyor bugün vermeyi unutmayın,neutral
809k,neutral
807k,neutral
voleybol maçı varmış,neutral
ne ara 5 ay oldu,neutral
unutuldun be,neutral
"806k
60 ml
100 ml !!!",neutral
"801k
stay! last 24h voting for the amas! ends may 16th 4pm kst! we need to finish strong! so throw in everything you got! remember to be not private -you know where- else it won't count 

we can do this! let's get them this award!",positive
"bno feikraisfan esora de que alfa y omega se vayan a descansar pq mañana hay cosillas que hacer como emplear y yo ser irresponsable y meterme fentanilo😊 que tengas lindos sueños con antonio en una pastelería mejiquwnse sin rstas sirviendo el menú 🙏 te quiero mucho 💞💕 me hace genuinamente feliz chatiar contigo y te voy a extrañar mucho cuando tengas el horario de supernova pero pos nimodo tienes que ser el secretario sirena estrella del buffet 🤗 que tengas un lindo dia y hagas muchos amigos +50, bais traeme muchos tmi chikitin",neutral
"bno mi estimada losi aquí este personaje del internet se despide pq mañana tiene q regresar a la vida adulta 😢 te deseo una linda y bna noche y di aun no tenes sueño espero q magicamnete aparezca, que sueñef q tenemos una empresa miyonaria q permite q no trabajrmos nunca mas amen 🙏 que tengad buen jueves y disfrútalo mucho x ser tu dia, te veo mañana, te quiero mucho mucho, no veas a beomseoki sin mi grasia 💤💞🙂‍↕️",neutral
sitilin en mi cabeza tampoco soy tan beomseoki,neutral
broo no twngo sueño 😢,neutral
truman eso pensé yo pero le dijeron wtf como lo pagaste y dijo con el dinero de mi papá 😊,negative
bno ahora si q en esta vuelta m voy,neutral
creo q es el fe sohi q edta feote,neutral
